user_id,experiment_group,retained_after_experiment,total_sessions,converted_to_paid,monthly_revenue
2550,control,1,2,1,20
2550,treatment,1,2,0,0
2551,control,0,1,0,0
2551,treatment,1,1,1,20
2552,control,0,2,0,0
2552,treatment,1,2,0,0
2553,control,0,1,0,0
2553,treatment,1,3,0,0
2554,control,1,3,0,0
2554,treatment,1,3,1,20
2555,control,0,1,0,0
2555,treatment,1,1,0,0
2556,treatment,1,1,0,0
2557,control,1,2,0,0
2557,treatment,0,1,0,0
2558,control,1,2,0,0
2558,treatment,1,3,0,0
2559,control,1,2,1,20
2559,treatment,1,1,0,0
2560,control,0,1,0,0
2560,treatment,1,2,0,0
2561,control,1,2,1,20
2561,treatment,1,1,0,0
2562,control,1,2,0,0
2562,treatment,1,1,0,0
2563,control,1,3,0,0
2563,treatment,1,3,0,0
2564,control,1,2,0,0
2564,treatment,1,1,0,0
2565,control,0,1,0,0
2565,treatment,1,1,1,20
2566,treatment,1,1,0,0
2567,control,1,1,1,20
2568,control,0,1,0,0
2568,treatment,1,1,1,20
2569,control,1,3,1,20
2569,treatment,1,2,0,0
2570,control,0,1,0,0
2570,treatment,1,1,0,0
2571,control,1,3,0,0
2571,treatment,1,3,1,20
2572,control,1,3,0,0
2572,treatment,1,1,0,0
2573,control,0,1,0,0
2573,treatment,1,1,1,20
2574,control,1,3,0,0
2574,treatment,1,2,0,0
2575,control,1,2,1,20
2575,treatment,0,1,0,0
2576,control,1,1,1,20
2576,treatment,1,3,0,0
2577,control,1,3,0,0
2577,treatment,1,2,0,0
2578,control,1,2,1,20
2578,treatment,1,2,0,0
2579,control,0,1,0,0
2579,treatment,1,3,0,0
2580,control,0,2,0,0
2580,treatment,1,1,1,20
2581,control,1,2,0,0
2581,treatment,0,1,0,0
2582,control,1,1,0,0
2583,control,1,2,1,20
2583,treatment,1,1,0,0
2584,control,1,3,0,0
2584,treatment,1,1,0,0
2585,control,0,1,0,0
2585,treatment,1,2,0,0
2586,control,0,3,0,0
2586,treatment,1,2,0,0
2587,treatment,1,1,0,0
2588,control,1,1,0,0
2588,treatment,0,1,0,0
2589,control,1,1,0,0
2589,treatment,1,1,0,0
2590,treatment,1,1,0,0
2591,control,1,3,0,0
2591,treatment,1,2,0,0
2592,control,1,1,0,0
2593,control,1,2,0,0
2593,treatment,1,2,0,0
2594,control,0,1,0,0
2595,control,1,3,0,0
2595,treatment,1,1,0,0
2596,control,0,1,0,0
2596,treatment,0,1,0,0
2597,control,1,2,0,0
2597,treatment,1,2,0,0
2598,control,1,1,1,20
2598,treatment,0,1,0,0
2599,control,1,2,0,0
2599,treatment,0,1,0,0
2600,treatment,1,1,0,0
2601,control,0,2,0,0
2601,treatment,1,3,0,0
2602,control,0,1,0,0
2602,treatment,0,1,0,0
2603,treatment,0,1,0,0
2604,control,0,3,0,0
2604,treatment,1,3,1,20
2605,control,1,1,0,0
2606,control,1,1,1,20
2607,control,0,2,0,0
2607,treatment,1,3,0,0
2608,control,1,2,1,20
2608,treatment,1,2,0,0
2609,control,1,3,0,0
2609,treatment,1,2,0,0
2610,control,1,3,1,20
2610,treatment,1,1,0,0
2611,control,0,2,0,0
2611,treatment,1,1,1,20
2612,control,0,2,0,0
2612,treatment,0,2,0,0
2613,control,0,1,0,0
2613,treatment,1,1,0,0
2614,control,0,3,0,0
2614,treatment,1,2,1,20
2615,control,1,2,0,0
2615,treatment,1,2,0,0
2616,control,1,2,0,0
2617,control,1,2,1,20
2617,treatment,1,3,0,0
2618,control,0,1,0,0
2618,treatment,0,1,0,0
2619,control,1,2,0,0
2619,treatment,1,2,0,0
2620,control,1,3,0,0
2620,treatment,1,3,1,20
2621,treatment,1,2,0,0
2622,control,1,2,1,20
2622,treatment,1,1,0,0
2623,treatment,1,1,0,0
2624,control,1,2,0,0
2624,treatment,1,2,0,0
2625,control,0,1,0,0
2625,treatment,0,1,0,0
2626,control,1,2,1,20
2626,treatment,1,2,0,0
2627,control,0,1,0,0
2627,treatment,1,1,0,0
2628,control,1,3,0,0
2628,treatment,1,2,0,0
2629,control,1,2,0,0
2629,treatment,1,2,0,0
2630,treatment,0,1,0,0
2631,control,0,2,0,0
2631,treatment,0,1,0,0
2632,control,0,1,0,0
2632,treatment,1,1,0,0
2633,control,0,2,0,0
2633,treatment,1,3,0,0
2634,control,1,3,0,0
2634,treatment,1,2,0,0
2635,control,1,3,1,20
2635,treatment,1,2,1,20
2636,control,0,1,0,0
2636,treatment,1,1,0,0
2637,control,1,2,0,0
2637,treatment,1,3,1,20
2638,control,1,3,0,0
2638,treatment,1,3,1,20
2639,control,0,3,0,0
2639,treatment,1,3,0,0
2640,control,1,2,1,20
2640,treatment,1,2,0,0
2641,control,1,3,0,0
2641,treatment,0,1,0,0
2642,control,1,2,0,0
2642,treatment,1,2,0,0
2643,control,1,2,1,20
2643,treatment,1,2,1,20
2644,control,1,3,0,0
2644,treatment,1,3,0,0
2645,control,0,3,0,0
2645,treatment,1,3,0,0
2646,control,1,3,0,0
2646,treatment,1,2,0,0
2647,control,0,1,0,0
2647,treatment,1,1,0,0
2648,control,0,1,0,0
2648,treatment,0,2,0,0
2649,control,1,1,0,0
2650,control,1,2,0,0
2650,treatment,1,2,0,0
2651,control,0,2,0,0
2651,treatment,1,1,1,20
2652,control,0,1,0,0
2652,treatment,0,1,0,0
2653,control,0,2,0,0
2653,treatment,1,2,0,0
2654,control,0,2,0,0
2654,treatment,0,2,0,0
2655,control,0,1,0,0
2655,treatment,1,2,0,0
2656,control,0,1,0,0
2656,treatment,1,1,1,20
2657,control,1,2,0,0
2657,treatment,1,1,1,20
2658,control,0,1,0,0
2658,treatment,1,1,1,20
2659,control,1,2,0,0
2659,treatment,1,2,1,20
2660,control,1,3,0,0
2660,treatment,1,2,1,20
2661,control,0,2,0,0
2661,treatment,1,2,0,0
2662,control,1,2,1,20
2662,treatment,1,1,0,0
2663,control,1,1,1,20
2663,treatment,1,1,1,20
2664,control,1,2,0,0
2664,treatment,1,2,0,0
2665,treatment,1,1,0,0
2666,control,1,2,1,20
2666,treatment,1,2,0,0
2667,control,1,1,0,0
2667,treatment,1,1,0,0
2668,control,1,2,0,0
2669,treatment,1,1,1,20
2670,control,0,1,0,0
2670,treatment,1,1,0,0
2671,control,0,1,0,0
2671,treatment,1,1,0,0
2672,control,1,2,0,0
2672,treatment,1,2,0,0
2673,control,1,2,0,0
2673,treatment,1,2,0,0
2674,control,0,2,0,0
2674,treatment,1,3,1,20
2675,control,0,1,0,0
2675,treatment,1,1,0,0
2676,control,1,2,0,0
2676,treatment,1,3,0,0
2677,control,0,2,0,0
2677,treatment,1,2,1,20
2678,control,0,1,0,0
2678,treatment,0,1,0,0
2679,control,1,2,0,0
2679,treatment,1,1,0,0
2680,treatment,1,1,1,20
2681,control,1,1,0,0
2682,control,1,2,1,20
2682,treatment,1,1,1,20
2683,control,0,3,0,0
2683,treatment,1,3,0,0
2684,control,0,3,0,0
2684,treatment,1,3,1,20
2685,control,1,1,1,20
2685,treatment,1,1,0,0
2686,treatment,1,1,1,20
2687,control,0,1,0,0
2687,treatment,1,1,0,0
2688,control,0,1,0,0
2688,treatment,1,1,0,0
2689,control,1,2,0,0
2689,treatment,1,1,0,0
2690,control,0,1,0,0
2691,control,1,2,0,0
2691,treatment,1,2,0,0
2692,control,1,3,0,0
2692,treatment,1,3,1,20
2693,control,1,2,0,0
2693,treatment,1,2,1,20
2694,control,1,1,0,0
2695,control,1,2,1,20
2695,treatment,1,3,0,0
2696,control,1,3,0,0
2696,treatment,1,3,0,0
2697,treatment,1,1,1,20
2698,control,1,3,0,0
2698,treatment,1,2,0,0
2699,control,1,1,1,20
2699,treatment,1,1,1,20
2700,control,0,2,0,0
2700,treatment,1,2,0,0
2701,control,0,1,0,0
2701,treatment,1,1,0,0
2702,control,1,2,0,0
2702,treatment,1,1,0,0
2703,treatment,1,2,0,0
2704,control,0,1,0,0
2704,treatment,1,1,1,20
2705,control,0,1,0,0
2705,treatment,0,1,0,0
2706,control,1,1,0,0
2706,treatment,1,1,0,0
2707,control,1,2,1,20
2707,treatment,1,3,0,0
2708,control,0,1,0,0
2709,treatment,1,1,0,0
2710,control,0,1,0,0
2710,treatment,1,1,0,0
2711,control,0,1,0,0
2711,treatment,1,1,0,0
2712,control,0,2,0,0
2712,treatment,1,2,0,0
2713,control,1,1,0,0
2713,treatment,1,1,1,20
2714,control,1,2,0,0
2714,treatment,1,3,0,0
2715,control,0,3,0,0
2715,treatment,1,3,0,0
2716,control,0,1,0,0
2717,control,0,1,0,0
2718,control,1,1,0,0
2718,treatment,1,1,0,0
2719,control,1,2,0,0
2719,treatment,0,2,0,0
2720,control,1,3,1,20
2720,treatment,1,2,0,0
2721,control,1,2,0,0
2721,treatment,1,2,1,20
2722,control,0,3,0,0
2722,treatment,1,3,1,20
2723,control,1,1,1,20
2723,treatment,1,1,1,20
2724,control,1,1,0,0
2724,treatment,1,1,1,20
2725,control,1,1,0,0
2726,control,1,1,0,0
2726,treatment,1,2,1,20
2727,control,1,1,0,0
2727,treatment,1,2,1,20
2728,control,1,1,0,0
2728,treatment,1,2,1,20
2729,control,0,1,0,0
2730,control,1,2,0,0
2730,treatment,1,1,1,20
2731,control,0,1,0,0
2731,treatment,1,2,0,0
2732,control,0,1,0,0
2732,treatment,1,2,1,20
2733,control,1,1,0,0
2734,control,0,1,0,0
2734,treatment,0,1,0,0
2735,control,0,1,0,0
2735,treatment,0,1,0,0
2736,treatment,1,3,1,20
2737,control,0,1,0,0
2737,treatment,1,3,0,0
2738,control,1,1,1,20
2738,treatment,1,2,1,20
2739,control,1,3,1,20
2739,treatment,1,2,0,0
2740,control,0,3,0,0
2740,treatment,1,2,0,0
2741,control,0,1,0,0
2741,treatment,1,1,0,0
2742,control,1,1,1,20
2742,treatment,1,1,0,0
2743,control,0,1,0,0
2743,treatment,1,1,0,0
2744,control,0,1,0,0
2745,control,1,3,0,0
2745,treatment,1,1,0,0
2746,control,1,2,0,0
2746,treatment,1,1,0,0
2747,control,0,1,0,0
2747,treatment,1,1,0,0
2748,control,1,3,0,0
2748,treatment,1,3,0,0
2749,control,0,2,0,0
2749,treatment,1,2,1,20
2750,control,0,1,0,0
2750,treatment,1,1,0,0
2751,control,0,1,0,0
2751,treatment,1,1,0,0
2752,control,0,1,0,0
2752,treatment,0,1,0,0
2753,control,0,1,0,0
2753,treatment,1,1,1,20
2754,treatment,1,1,0,0
2755,control,1,1,0,0
2755,treatment,1,2,0,0
2756,control,1,2,0,0
2756,treatment,1,2,1,20
2757,control,0,1,0,0
2757,treatment,1,1,0,0
2758,control,1,2,0,0
2758,treatment,1,2,0,0
2759,control,0,3,0,0
2759,treatment,1,2,0,0
2760,control,0,2,0,0
2760,treatment,1,2,1,20
2761,control,0,1,0,0
2761,treatment,1,1,0,0
2762,control,1,3,0,0
2762,treatment,1,3,1,20
2763,control,0,2,0,0
2763,treatment,1,1,0,0
2764,control,1,3,0,0
2764,treatment,0,1,0,0
2765,control,1,2,0,0
2765,treatment,1,3,1,20
2766,treatment,1,1,0,0
2767,control,1,1,0,0
2767,treatment,1,1,0,0
2768,control,0,1,0,0
2768,treatment,1,1,0,0
2769,treatment,1,1,0,0
2770,control,0,1,0,0
2770,treatment,1,1,0,0
2771,treatment,1,1,0,0
2772,control,1,2,0,0
2773,treatment,1,2,0,0
2774,control,0,1,0,0
2774,treatment,0,1,0,0
2775,control,0,2,0,0
2775,treatment,1,3,1,20
2776,control,0,2,0,0
2776,treatment,1,2,0,0
2777,control,0,1,0,0
2777,treatment,1,1,1,20
2778,control,1,1,0,0
2778,treatment,1,2,1,20
2779,treatment,1,1,0,0
2780,control,0,1,0,0
2781,control,0,2,0,0
2781,treatment,1,3,0,0
2782,treatment,1,1,1,20
2783,control,1,1,0,0
2783,treatment,1,1,0,0
2784,treatment,1,2,1,20
2785,control,1,2,0,0
2785,treatment,1,3,0,0
2786,control,0,1,0,0
2786,treatment,1,2,0,0
2787,control,1,2,0,0
2787,treatment,1,2,1,20
2788,control,1,1,0,0
2788,treatment,1,1,1,20
2789,control,0,3,0,0
2789,treatment,1,3,0,0
2790,control,0,2,0,0
2790,treatment,0,2,0,0
2791,control,0,1,0,0
2792,control,1,3,0,0
2792,treatment,1,3,0,0
2793,control,1,3,1,20
2793,treatment,1,1,0,0
2794,control,1,1,0,0
2794,treatment,1,2,1,20
2795,control,0,1,0,0
2795,treatment,1,3,1,20
2796,control,1,2,1,20
2796,treatment,1,1,1,20
2797,control,1,2,1,20
2798,control,0,1,0,0
2798,treatment,1,1,0,0
2799,control,1,2,0,0
2799,treatment,1,2,1,20
2800,control,0,1,0,0
2800,treatment,1,2,1,20
2801,control,1,3,0,0
2801,treatment,1,2,0,0
2802,control,0,2,0,0
2802,treatment,1,2,1,20
2803,control,1,1,0,0
2803,treatment,1,2,0,0
2804,control,1,3,0,0
2804,treatment,1,3,0,0
2805,treatment,1,1,0,0
2806,control,1,1,0,0
2806,treatment,1,1,1,20
2807,control,1,1,1,20
2807,treatment,0,1,0,0
2808,control,0,2,0,0
2808,treatment,1,3,1,20
2809,control,0,1,0,0
2810,control,1,1,1,20
2810,treatment,1,2,0,0
2811,control,0,1,0,0
2811,treatment,1,1,0,0
2812,control,1,1,0,0
2812,treatment,1,2,0,0
2813,control,0,2,0,0
2813,treatment,1,2,0,0
2814,control,0,2,0,0
2814,treatment,1,2,1,20
2815,control,0,1,0,0
2815,treatment,1,1,0,0
2816,control,1,1,1,20
2816,treatment,0,1,0,0
2817,treatment,1,1,1,20
2818,control,1,3,0,0
2818,treatment,1,2,0,0
2819,control,0,2,0,0
2819,treatment,1,2,0,0
2820,control,1,3,1,20
2820,treatment,1,1,0,0
2821,control,0,1,0,0
2821,treatment,1,2,1,20
2822,control,1,1,0,0
2823,control,0,1,0,0
2823,treatment,1,1,0,0
2824,control,1,2,0,0
2824,treatment,1,1,1,20
2825,control,1,1,0,0
2825,treatment,1,1,0,0
2826,control,1,1,1,20
2827,control,1,2,0,0
2827,treatment,1,2,1,20
2828,control,0,2,0,0
2828,treatment,1,2,0,0
2829,control,0,2,0,0
2829,treatment,1,1,0,0
2830,control,0,2,0,0
2830,treatment,1,2,1,20
2831,control,0,1,0,0
2831,treatment,0,2,0,0
2832,control,0,2,0,0
2833,control,0,2,0,0
2833,treatment,1,3,0,0
2834,control,1,1,0,0
2834,treatment,0,2,0,0
2835,control,0,2,0,0
2835,treatment,1,3,0,0
2836,control,1,3,0,0
2836,treatment,1,3,1,20
2837,control,1,1,0,0
2837,treatment,1,2,0,0
2838,control,0,1,0,0
2839,control,0,3,0,0
2839,treatment,1,3,0,0
2840,treatment,1,1,0,0
2841,control,1,1,1,20
2841,treatment,1,2,0,0
2842,control,1,2,0,0
2842,treatment,1,2,0,0
2843,control,0,1,0,0
2843,treatment,1,2,0,0
2844,treatment,1,2,1,20
2845,control,0,2,0,0
2845,treatment,1,3,1,20
2846,control,1,3,0,0
2846,treatment,1,3,0,0
2847,control,1,1,0,0
2847,treatment,1,2,0,0
2848,control,1,3,0,0
2848,treatment,1,2,1,20
2849,control,0,2,0,0
2849,treatment,1,3,0,0
2850,control,1,1,0,0
2851,control,0,2,0,0
2851,treatment,1,2,0,0
2852,control,1,1,0,0
2852,treatment,1,1,0,0
2853,control,1,1,0,0
2853,treatment,1,3,0,0
2854,control,1,2,1,20
2854,treatment,1,3,1,20
2855,control,0,1,0,0
2855,treatment,1,2,1,20
2856,control,0,2,0,0
2856,treatment,1,3,0,0
2857,control,1,3,0,0
2857,treatment,1,2,0,0
2858,control,1,3,1,20
2858,treatment,1,2,0,0
2859,control,0,3,0,0
2859,treatment,1,2,0,0
2860,control,0,1,0,0
2861,control,0,3,0,0
2861,treatment,1,2,0,0
2862,control,1,1,0,0
2862,treatment,1,1,1,20
2863,control,1,1,0,0
2863,treatment,1,1,0,0
2864,control,0,2,0,0
2864,treatment,1,2,0,0
2865,treatment,1,1,0,0
2866,treatment,1,1,0,0
2867,treatment,0,1,0,0
2868,control,0,2,0,0
2868,treatment,1,1,1,20
2869,control,1,2,1,20
2869,treatment,1,3,0,0
2870,control,1,2,0,0
2870,treatment,1,2,1,20
2871,control,0,1,0,0
2871,treatment,1,1,1,20
2872,control,1,1,1,20
2872,treatment,1,1,0,0
2873,control,0,1,0,0
2874,control,0,1,0,0
2874,treatment,1,2,0,0
2875,control,1,1,0,0
2875,treatment,1,2,1,20
2876,control,0,1,0,0
2876,treatment,0,1,0,0
2877,control,1,2,0,0
2877,treatment,1,2,0,0
2878,control,1,2,1,20
2878,treatment,1,1,0,0
2879,control,0,1,0,0
2879,treatment,1,1,0,0
2880,control,1,2,1,20
2880,treatment,1,3,0,0
2881,control,1,1,0,0
2881,treatment,1,1,0,0
2882,control,1,1,1,20
2882,treatment,1,1,0,0
2883,control,1,1,0,0
2883,treatment,0,1,0,0
2884,control,0,1,0,0
2884,treatment,1,1,0,0
2885,control,1,1,1,20
2885,treatment,0,1,0,0
2886,control,0,3,0,0
2886,treatment,1,3,0,0
2887,control,0,1,0,0
2887,treatment,0,1,0,0
2888,control,1,1,1,20
2888,treatment,0,1,0,0
2889,control,1,3,0,0
2889,treatment,1,3,1,20
2890,control,1,3,0,0
2890,treatment,1,3,1,20
2891,control,1,1,0,0
2891,treatment,1,1,0,0
2892,control,0,1,0,0
2892,treatment,1,2,0,0
2893,control,0,3,0,0
2893,treatment,1,1,0,0
2894,treatment,1,1,0,0
2895,control,0,3,0,0
2895,treatment,1,3,1,20
2896,control,0,2,0,0
2897,control,0,2,0,0
2897,treatment,0,1,0,0
2898,control,1,1,0,0
2898,treatment,1,1,0,0
2899,control,1,2,0,0
2899,treatment,1,3,0,0
2900,control,0,1,0,0
2900,treatment,0,1,0,0
2901,control,1,2,0,0
2901,treatment,1,2,0,0
2902,control,0,3,0,0
2902,treatment,0,2,0,0
2903,treatment,1,1,0,0
2904,control,1,2,0,0
2904,treatment,1,1,0,0
2905,control,1,2,0,0
2905,treatment,1,2,0,0
2906,control,1,1,0,0
2907,control,0,1,0,0
2907,treatment,1,1,1,20
2908,control,1,1,1,20
2909,control,1,1,1,20
2909,treatment,1,1,0,0
2910,treatment,1,1,1,20
2911,control,1,1,1,20
2911,treatment,1,1,1,20
2912,control,1,1,0,0
2913,control,1,1,0,0
2914,control,0,1,0,0
2914,treatment,1,1,0,0
2915,control,1,3,0,0
2915,treatment,1,2,0,0
2916,control,0,2,0,0
2916,treatment,1,2,0,0
2917,treatment,1,1,0,0
2918,control,0,1,0,0
2918,treatment,1,1,0,0
2919,control,1,2,0,0
2919,treatment,1,2,0,0
2920,control,1,3,1,20
2920,treatment,1,3,0,0
2921,treatment,1,1,1,20
2922,control,0,3,0,0
2922,treatment,1,2,0,0
2923,control,0,3,0,0
2923,treatment,1,1,0,0
2924,control,1,3,0,0
2924,treatment,1,1,1,20
2925,control,1,2,1,20
2925,treatment,0,2,0,0
2926,control,0,2,0,0
2926,treatment,1,2,0,0
2927,control,0,1,0,0
2927,treatment,1,2,1,20
2928,control,1,2,1,20
2928,treatment,1,3,0,0
2929,control,1,2,1,20
2929,treatment,1,1,1,20
2930,control,1,1,1,20
2930,treatment,1,2,0,0
2931,control,1,3,0,0
2931,treatment,1,2,0,0
2932,control,1,1,1,20
2932,treatment,1,3,1,20
2933,treatment,1,1,0,0
2934,control,0,1,0,0
2934,treatment,1,2,1,20
2935,control,1,1,0,0
2936,control,1,1,0,0
2936,treatment,1,1,0,0
2937,control,1,1,0,0
2937,treatment,1,1,0,0
2938,control,0,2,0,0
2938,treatment,1,3,0,0
2939,control,0,1,0,0
2939,treatment,1,1,1,20
2940,control,0,1,0,0
2940,treatment,1,3,0,0
2941,control,0,1,0,0
2941,treatment,1,1,1,20
2942,control,1,3,0,0
2942,treatment,1,2,0,0
2943,control,0,1,0,0
2943,treatment,1,1,1,20
2944,control,0,1,0,0
2944,treatment,1,1,0,0
2945,control,0,1,0,0
2945,treatment,1,1,0,0
2946,control,0,2,0,0
2946,treatment,0,2,0,0
2947,control,1,3,0,0
2947,treatment,1,2,0,0
2948,control,0,2,0,0
2948,treatment,1,1,0,0
2949,control,1,3,0,0
2949,treatment,1,2,1,20
2950,control,0,2,0,0
2950,treatment,1,2,0,0
2951,control,0,1,0,0
2951,treatment,1,2,1,20
2952,control,1,3,1,20
2952,treatment,1,3,0,0
2953,control,0,2,0,0
2953,treatment,1,2,0,0
2954,control,1,2,0,0
2954,treatment,1,1,1,20
2955,control,1,1,0,0
2955,treatment,1,3,1,20
2956,control,1,1,0,0
2957,control,1,2,0,0
2957,treatment,1,2,0,0
2958,control,1,1,0,0
2958,treatment,1,1,0,0
2959,control,0,2,0,0
2959,treatment,1,2,0,0
2960,treatment,1,1,1,20
2961,control,1,3,0,0
2961,treatment,1,3,0,0
2962,control,0,2,0,0
2962,treatment,1,2,1,20
2963,control,1,1,0,0
2963,treatment,1,1,0,0
2964,control,1,3,0,0
2964,treatment,1,3,0,0
2965,treatment,1,1,1,20
2966,control,0,2,0,0
2966,treatment,0,2,0,0
2967,control,1,3,0,0
2967,treatment,1,2,1,20
2968,control,1,1,0,0
2968,treatment,1,1,0,0
2969,control,1,1,0,0
2969,treatment,1,1,0,0
2970,control,1,2,1,20
2970,treatment,1,2,0,0
2971,treatment,1,1,0,0
2972,control,1,3,1,20
2972,treatment,1,2,0,0
2973,control,1,3,0,0
2973,treatment,1,3,1,20
2974,control,0,1,0,0
2974,treatment,1,2,1,20
2975,control,1,1,1,20
2975,treatment,1,1,0,0
2976,control,1,2,1,20
2976,treatment,1,2,0,0
2977,control,1,2,0,0
2977,treatment,0,1,0,0
2978,control,0,2,0,0
2979,control,0,2,0,0
2979,treatment,1,1,1,20
2980,control,1,3,0,0
2980,treatment,1,2,0,0
2981,control,1,3,0,0
2981,treatment,1,2,0,0
2982,control,1,1,0,0
2982,treatment,1,2,0,0
2983,control,0,2,0,0
2983,treatment,1,2,0,0
2984,control,1,1,0,0
2984,treatment,1,1,0,0
2985,control,0,1,0,0
2985,treatment,1,1,0,0
2986,control,1,1,0,0
2986,treatment,1,2,0,0
2987,control,1,3,0,0
2987,treatment,1,2,0,0
2988,control,0,1,0,0
2988,treatment,1,2,0,0
2989,control,0,1,0,0
2989,treatment,1,1,1,20
2990,control,0,1,0,0
2990,treatment,1,2,0,0
2991,control,1,1,1,20
2992,control,1,1,0,0
2992,treatment,1,1,0,0
2993,treatment,1,1,0,0
2994,control,0,2,0,0
2994,treatment,1,2,1,20
2995,control,0,3,0,0
2995,treatment,1,2,0,0
2996,control,1,2,0,0
2996,treatment,1,2,1,20
2997,control,0,1,0,0
2997,treatment,1,1,0,0
2998,control,1,1,0,0
2998,treatment,1,1,0,0
2999,control,1,2,1,20
2999,treatment,1,2,0,0
3000,control,0,1,0,0
3001,control,1,2,0,0
3001,treatment,1,1,0,0
3002,treatment,1,1,0,0
3003,control,1,1,0,0
3004,control,0,1,0,0
3004,treatment,0,1,0,0
3005,control,0,2,0,0
3005,treatment,0,1,0,0
3006,treatment,1,1,0,0
3007,control,1,2,0,0
3007,treatment,1,2,0,0
3008,control,1,1,0,0
3009,control,0,2,0,0
3009,treatment,1,3,0,0
3010,control,0,1,0,0
3010,treatment,1,1,1,20
3011,control,1,3,1,20
3011,treatment,1,2,1,20
3012,control,1,1,1,20
3013,control,1,1,0,0
3013,treatment,0,1,0,0
3014,control,1,1,0,0
3014,treatment,1,2,1,20
3015,control,1,1,1,20
3015,treatment,1,1,1,20
3016,control,1,3,0,0
3016,treatment,1,3,0,0
3017,control,1,2,0,0
3017,treatment,1,2,1,20
3018,control,1,1,0,0
3018,treatment,1,1,0,0
3019,control,1,3,0,0
3019,treatment,0,2,0,0
3020,control,1,2,1,20
3020,treatment,1,2,0,0
3021,control,1,1,0,0
3021,treatment,0,1,0,0
3022,treatment,1,1,0,0
3023,control,1,2,0,0
3023,treatment,1,1,0,0
3024,treatment,1,1,0,0
3025,control,1,2,0,0
3025,treatment,1,2,0,0
3026,treatment,1,1,0,0
3027,control,0,2,0,0
3027,treatment,1,2,0,0
3028,control,0,1,0,0
3028,treatment,1,2,0,0
3029,control,0,1,0,0
3029,treatment,0,2,0,0
3030,control,1,2,0,0
3030,treatment,1,2,0,0
3031,control,0,1,0,0
3031,treatment,0,1,0,0
3032,control,1,2,0,0
3032,treatment,1,2,0,0
3033,control,1,1,0,0
3033,treatment,1,2,0,0
3034,control,0,3,0,0
3034,treatment,1,2,0,0
3035,control,0,2,0,0
3035,treatment,1,2,1,20
3036,control,1,1,0,0
3036,treatment,1,1,0,0
3037,control,1,3,1,20
3037,treatment,1,3,0,0
3038,control,0,2,0,0
3038,treatment,1,3,0,0
3039,treatment,0,1,0,0
3040,control,1,2,0,0
3041,control,0,2,0,0
3041,treatment,1,1,0,0
3042,control,1,3,1,20
3042,treatment,1,3,0,0
3043,control,1,2,0,0
3043,treatment,1,3,1,20
3044,control,1,1,0,0
3044,treatment,1,1,0,0
3045,control,0,3,0,0
3045,treatment,1,3,1,20
3046,control,1,1,0,0
3046,treatment,1,1,0,0
3047,control,1,1,1,20
3047,treatment,0,1,0,0
3048,control,1,3,1,20
3048,treatment,1,1,1,20
3049,control,1,2,0,0
3049,treatment,1,2,0,0
3050,control,1,2,1,20
3050,treatment,0,1,0,0
3051,control,1,1,0,0
3051,treatment,1,3,0,0
3052,control,1,1,1,20
3052,treatment,1,1,0,0
3053,control,1,2,0,0
3053,treatment,1,2,0,0
3054,control,1,1,0,0
3054,treatment,0,1,0,0
3055,control,0,1,0,0
3055,treatment,1,1,0,0
3056,control,1,2,1,20
3056,treatment,1,3,0,0
3057,control,0,2,0,0
3058,control,0,1,0,0
3058,treatment,0,1,0,0
3059,control,1,3,0,0
3059,treatment,1,2,1,20
3060,control,0,1,0,0
3060,treatment,0,1,0,0
3061,control,1,3,0,0
3061,treatment,1,2,1,20
3062,control,0,1,0,0
3062,treatment,0,1,0,0
3063,treatment,0,1,0,0
3064,control,1,3,0,0
3064,treatment,1,3,0,0
3065,control,0,3,0,0
3065,treatment,1,3,0,0
3066,control,1,1,1,20
3066,treatment,1,1,0,0
3067,control,1,3,0,0
3067,treatment,1,3,0,0
3068,control,0,1,0,0
3068,treatment,1,1,1,20
3069,control,1,3,0,0
3069,treatment,1,3,0,0
3070,control,0,1,0,0
3070,treatment,1,3,1,20
3071,control,1,3,0,0
3071,treatment,1,2,0,0
3072,control,1,3,0,0
3072,treatment,1,3,0,0
3073,control,0,3,0,0
3073,treatment,1,2,0,0
3074,control,1,2,0,0
3074,treatment,1,2,0,0
3075,control,1,2,0,0
3075,treatment,1,2,0,0
3076,control,1,2,1,20
3076,treatment,1,1,0,0
3077,control,1,1,1,20
3077,treatment,1,1,0,0
3078,control,1,2,0,0
3078,treatment,1,1,0,0
3079,control,1,1,1,20
3079,treatment,1,2,0,0
3080,control,1,2,0,0
3080,treatment,1,1,0,0
3081,control,0,2,0,0
3081,treatment,1,3,0,0
3082,control,0,2,0,0
3082,treatment,0,1,0,0
3083,control,0,1,0,0
3084,control,1,3,1,20
3084,treatment,1,3,0,0
3085,control,0,3,0,0
3085,treatment,1,3,0,0
3086,control,1,1,0,0
3086,treatment,1,2,1,20
3087,control,0,1,0,0
3088,control,1,1,1,20
3088,treatment,1,1,1,20
3089,control,0,1,0,0
3089,treatment,1,2,0,0
3090,control,0,3,0,0
3090,treatment,1,2,1,20
3091,control,0,1,0,0
3091,treatment,1,1,1,20
3092,control,0,1,0,0
3093,control,0,2,0,0
3093,treatment,1,2,0,0
3094,control,0,2,0,0
3094,treatment,1,3,0,0
3095,control,1,2,0,0
3095,treatment,1,2,0,0
3096,control,1,1,0,0
3096,treatment,1,1,0,0
3097,control,0,1,0,0
