prompt_id,session_id,user_id,prompt_type,prompt_quality_score,prompt_attempt_number,output_id,output_quality_score,feedback,edited_output,good_output_flag,experiment_group,new_output_quality,new_feedback,new_good_output_flag
19320,6414,3235,assignment,6,2,19320,5,bad,1,0,control,6,bad,0
19321,6414,3235,assignment,6,3,19321,7,good,0,1,control,7,good,1
19322,6414,3235,assignment,7,4,19322,5,bad,1,0,treatment,7,good,1
19323,6415,3236,assignment,9,1,19323,10,good,0,1,treatment,8,good,1
19324,6415,3236,assignment,9,2,19324,8,good,0,1,control,10,good,1
19325,6416,3237,summary,5,1,19325,4,bad,1,0,control,4,bad,0
19326,6416,3237,summary,7,2,19326,7,good,0,1,treatment,9,good,1
19327,6416,3237,summary,4,3,19327,5,bad,1,0,control,4,bad,0
19328,6417,3237,assignment,5,1,19328,4,bad,1,0,control,7,good,1
19329,6417,3237,summary,7,2,19329,5,bad,1,0,treatment,8,good,1
19330,6417,3237,summary,3,3,19330,5,bad,1,0,control,5,bad,0
19331,6418,3237,summary,6,1,19331,4,bad,1,0,treatment,6,bad,0
19332,6418,3237,assignment,4,2,19332,4,bad,1,0,control,6,bad,0
19333,6418,3237,assignment,5,3,19333,5,bad,1,0,control,6,bad,0
19334,6419,3238,summary,7,1,19334,8,good,0,1,control,6,bad,0
19335,6419,3238,summary,6,2,19335,6,bad,1,0,control,8,good,1
19336,6419,3238,report,7,3,19336,6,bad,1,0,treatment,6,bad,0
19337,6419,3238,report,7,4,19337,6,bad,1,0,treatment,6,bad,0
19338,6420,3238,report,6,1,19338,7,good,0,1,control,5,bad,0
19339,6420,3238,report,7,2,19339,5,bad,1,0,treatment,9,good,1
19340,6420,3238,summary,5,3,19340,4,bad,1,0,control,6,bad,0
19341,6420,3238,report,5,4,19341,4,bad,1,0,control,5,bad,0
19342,6421,3239,report,7,1,19342,9,good,0,1,treatment,6,bad,0
19343,6421,3239,summary,8,2,19343,8,good,0,1,treatment,8,good,1
19344,6421,3239,report,9,3,19344,9,good,0,1,treatment,9,good,1
19345,6422,3240,assignment,7,1,19345,7,good,0,1,control,6,bad,0
19346,6422,3240,summary,8,2,19346,10,good,0,1,treatment,8,good,1
19347,6422,3240,assignment,7,3,19347,8,good,0,1,treatment,6,bad,0
19348,6423,3241,assignment,7,1,19348,7,good,0,1,treatment,9,good,1
19349,6423,3241,summary,5,2,19349,2,bad,1,0,treatment,4,bad,0
19350,6423,3241,summary,5,3,19350,4,bad,1,0,treatment,7,good,1
19351,6423,3241,summary,5,4,19351,7,good,0,1,control,4,bad,0
19352,6423,3241,assignment,6,5,19352,5,bad,1,0,treatment,5,bad,0
19353,6424,3242,assignment,4,1,19353,6,bad,1,0,control,6,bad,0
19354,6424,3242,summary,5,2,19354,4,bad,1,0,treatment,5,bad,0
19355,6424,3242,assignment,7,3,19355,5,bad,1,0,treatment,8,good,1
19356,6424,3242,assignment,5,4,19356,3,bad,1,0,treatment,6,bad,0
19357,6425,3242,assignment,5,1,19357,5,bad,1,0,treatment,6,bad,0
19358,6425,3242,assignment,5,2,19358,2,bad,1,0,treatment,7,good,1
19359,6425,3242,assignment,7,3,19359,6,bad,1,0,treatment,7,good,1
19360,6425,3242,assignment,4,4,19360,4,bad,1,0,control,6,bad,0
19361,6426,3243,assignment,5,1,19361,2,bad,1,0,treatment,6,bad,0
19362,6426,3243,summary,5,2,19362,7,good,0,1,control,7,good,1
19363,6426,3243,assignment,3,3,19363,3,bad,1,0,control,5,bad,0
19364,6426,3243,assignment,6,4,19364,5,bad,1,0,treatment,8,good,1
19365,6426,3243,assignment,5,5,19365,6,bad,1,0,control,5,bad,0
19366,6427,3243,assignment,4,1,19366,3,bad,1,0,control,5,bad,0
19367,6427,3243,summary,7,2,19367,4,bad,1,0,treatment,9,good,1
19368,6427,3243,summary,6,3,19368,5,bad,1,0,treatment,8,good,1
19369,6428,3244,summary,5,1,19369,7,good,0,1,control,4,bad,0
19370,6428,3244,summary,7,2,19370,6,bad,1,0,treatment,6,bad,0
19371,6428,3244,summary,6,3,19371,6,bad,1,0,control,7,good,1
19372,6428,3244,report,7,4,19372,7,good,0,1,treatment,6,bad,0
19373,6429,3244,report,7,1,19373,6,bad,1,0,treatment,7,good,1
19374,6429,3244,report,5,2,19374,5,bad,1,0,control,4,bad,0
19375,6430,3245,report,7,1,19375,6,bad,1,0,treatment,9,good,1
19376,6430,3245,report,6,2,19376,7,good,0,1,control,8,good,1
19377,6430,3245,report,6,3,19377,6,bad,1,0,control,7,good,1
19378,6430,3245,report,5,4,19378,7,good,0,1,control,5,bad,0
19379,6431,3246,assignment,7,1,19379,7,good,0,1,treatment,7,good,1
19380,6431,3246,assignment,6,2,19380,8,good,0,1,control,5,bad,0
19381,6431,3246,assignment,6,3,19381,5,bad,1,0,treatment,7,good,1
19382,6431,3246,summary,5,4,19382,7,good,0,1,control,5,bad,0
19383,6431,3246,assignment,6,5,19383,8,good,0,1,control,8,good,1
19384,6432,3247,summary,6,1,19384,3,bad,1,0,treatment,8,good,1
19385,6432,3247,summary,5,2,19385,3,bad,1,0,treatment,5,bad,0
19386,6432,3247,assignment,5,3,19386,6,bad,1,0,control,5,bad,0
19387,6432,3247,assignment,7,4,19387,5,bad,1,0,treatment,8,good,1
19388,6432,3247,assignment,6,5,19388,3,bad,1,0,treatment,8,good,1
19389,6433,3247,summary,5,1,19389,5,bad,1,0,treatment,6,bad,0
19390,6433,3247,assignment,3,2,19390,4,bad,1,0,control,2,bad,0
19391,6433,3247,assignment,7,3,19391,6,bad,1,0,treatment,6,bad,0
19392,6434,3248,assignment,5,1,19392,5,bad,1,0,treatment,6,bad,0
19393,6435,3248,assignment,5,1,19393,5,bad,1,0,treatment,4,bad,0
19394,6435,3248,summary,4,2,19394,4,bad,1,0,control,4,bad,0
19395,6435,3248,assignment,7,3,19395,5,bad,1,0,treatment,6,bad,0
19396,6436,3249,report,6,1,19396,7,good,0,1,control,6,bad,0
19397,6436,3249,report,6,2,19397,5,bad,1,0,treatment,6,bad,0
19398,6436,3249,summary,7,3,19398,8,good,0,1,treatment,9,good,1
19399,6436,3249,summary,7,4,19399,4,bad,1,0,treatment,9,good,1
19400,6436,3249,report,6,5,19400,8,good,0,1,treatment,7,good,1
19401,6437,3249,report,7,1,19401,7,good,0,1,control,6,bad,0
19402,6437,3249,report,7,2,19402,7,good,0,1,treatment,9,good,1
19403,6437,3249,report,5,3,19403,6,bad,1,0,control,6,bad,0
19404,6438,3250,summary,5,1,19404,5,bad,1,0,treatment,4,bad,0
19405,6439,3250,report,5,1,19405,2,bad,1,0,treatment,6,bad,0
19406,6439,3250,report,5,2,19406,4,bad,1,0,control,6,bad,0
19407,6439,3250,report,7,3,19407,7,good,0,1,treatment,7,good,1
19408,6439,3250,report,5,4,19408,6,bad,1,0,control,5,bad,0
19409,6439,3250,report,5,5,19409,4,bad,1,0,control,6,bad,0
19410,6440,3251,assignment,7,1,19410,9,good,0,1,control,7,good,1
19411,6440,3251,assignment,7,2,19411,8,good,0,1,control,8,good,1
19412,6440,3251,summary,7,3,19412,6,bad,1,0,treatment,6,bad,0
19413,6440,3251,assignment,7,4,19413,4,bad,1,0,treatment,9,good,1
19414,6441,3251,assignment,7,1,19414,6,bad,1,0,treatment,6,bad,0
19415,6441,3251,assignment,7,2,19415,8,good,0,1,control,6,bad,0
19416,6442,3251,assignment,7,1,19416,5,bad,1,0,treatment,7,good,1
19417,6442,3251,assignment,6,2,19417,5,bad,1,0,control,7,good,1
19418,6442,3251,assignment,6,3,19418,5,bad,1,0,control,8,good,1
19419,6442,3251,assignment,6,4,19419,7,good,0,1,control,7,good,1
19420,6442,3251,assignment,7,5,19420,7,good,0,1,treatment,7,good,1
19421,6443,3252,assignment,6,1,19421,4,bad,1,0,treatment,8,good,1
19422,6443,3252,assignment,5,2,19422,7,good,0,1,control,7,good,1
19423,6443,3252,summary,5,3,19423,6,bad,1,0,control,6,bad,0
19424,6443,3252,assignment,3,4,19424,3,bad,1,0,control,2,bad,0
19425,6443,3252,assignment,3,5,19425,4,bad,1,0,control,5,bad,0
19426,6444,3252,assignment,6,1,19426,3,bad,1,0,treatment,8,good,1
19427,6445,3252,assignment,5,1,19427,5,bad,1,0,treatment,6,bad,0
19428,6445,3252,summary,3,2,19428,2,bad,1,0,control,2,bad,0
19429,6445,3252,assignment,6,3,19429,3,bad,1,0,treatment,5,bad,0
19430,6445,3252,assignment,6,4,19430,4,bad,1,0,treatment,8,good,1
19431,6446,3253,report,6,1,19431,5,bad,1,0,treatment,5,bad,0
19432,6446,3253,report,5,2,19432,2,bad,1,0,treatment,4,bad,0
19433,6446,3253,report,7,3,19433,6,bad,1,0,treatment,7,good,1
19434,6447,3254,assignment,4,1,19434,3,bad,1,0,control,4,bad,0
19435,6448,3254,assignment,7,1,19435,7,good,0,1,treatment,8,good,1
19436,6448,3254,assignment,5,2,19436,5,bad,1,0,treatment,7,good,1
19437,6448,3254,summary,4,3,19437,3,bad,1,0,control,5,bad,0
19438,6449,3254,assignment,6,1,19438,3,bad,1,0,treatment,8,good,1
19439,6449,3254,assignment,6,2,19439,3,bad,1,0,treatment,7,good,1
19440,6450,3255,assignment,4,1,19440,6,bad,1,0,control,5,bad,0
19441,6450,3255,summary,4,2,19441,5,bad,1,0,control,3,bad,0
19442,6450,3255,assignment,5,3,19442,2,bad,1,0,treatment,7,good,1
19443,6451,3255,summary,5,1,19443,4,bad,1,0,treatment,4,bad,0
19444,6452,3256,assignment,3,1,19444,3,bad,1,0,control,5,bad,0
19445,6453,3256,assignment,7,1,19445,4,bad,1,0,treatment,9,good,1
19446,6453,3256,summary,6,2,19446,5,bad,1,0,treatment,6,bad,0
19447,6453,3256,summary,6,3,19447,3,bad,1,0,treatment,6,bad,0
19448,6454,3257,report,7,1,19448,6,bad,1,0,treatment,9,good,1
19449,6454,3257,report,5,2,19449,6,bad,1,0,control,6,bad,0
19450,6454,3257,report,5,3,19450,3,bad,1,0,treatment,5,bad,0
19451,6454,3257,report,3,4,19451,2,bad,1,0,control,3,bad,0
19452,6454,3257,summary,5,5,19452,6,bad,1,0,control,4,bad,0
19453,6455,3257,report,5,1,19453,4,bad,1,0,control,6,bad,0
19454,6455,3257,report,4,2,19454,4,bad,1,0,control,4,bad,0
19455,6456,3257,report,4,1,19455,3,bad,1,0,control,5,bad,0
19456,6457,3258,assignment,4,1,19456,4,bad,1,0,control,3,bad,0
19457,6458,3258,assignment,7,1,19457,7,good,0,1,treatment,8,good,1
19458,6458,3258,assignment,4,2,19458,4,bad,1,0,control,3,bad,0
19459,6459,3258,assignment,6,1,19459,6,bad,1,0,treatment,7,good,1
19460,6459,3258,summary,4,2,19460,5,bad,1,0,control,6,bad,0
19461,6460,3259,assignment,3,1,19461,3,bad,1,0,control,2,bad,0
19462,6460,3259,assignment,7,2,19462,5,bad,1,0,treatment,8,good,1
19463,6460,3259,assignment,4,3,19463,6,bad,1,0,control,3,bad,0
19464,6460,3259,assignment,6,4,19464,5,bad,1,0,treatment,5,bad,0
19465,6461,3259,assignment,7,1,19465,7,good,0,1,treatment,7,good,1
19466,6461,3259,summary,5,2,19466,4,bad,1,0,treatment,4,bad,0
19467,6461,3259,summary,5,3,19467,5,bad,1,0,control,7,good,1
19468,6461,3259,summary,5,4,19468,7,good,0,1,control,5,bad,0
19469,6462,3260,report,4,1,19469,5,bad,1,0,control,5,bad,0
19470,6463,3261,summary,5,1,19470,5,bad,1,0,control,4,bad,0
19471,6464,3261,assignment,7,1,19471,6,bad,1,0,control,6,bad,0
19472,6464,3261,assignment,7,2,19472,7,good,0,1,treatment,6,bad,0
19473,6464,3261,assignment,5,3,19473,6,bad,1,0,control,6,bad,0
19474,6464,3261,assignment,6,4,19474,7,good,0,1,control,8,good,1
19475,6464,3261,assignment,7,5,19475,7,good,0,1,control,8,good,1
19476,6465,3261,assignment,7,1,19476,6,bad,1,0,treatment,9,good,1
19477,6465,3261,assignment,6,2,19477,7,good,0,1,treatment,6,bad,0
19478,6465,3261,assignment,5,3,19478,5,bad,1,0,control,7,good,1
19479,6466,3262,assignment,5,1,19479,3,bad,1,0,treatment,5,bad,0
19480,6466,3262,summary,5,2,19480,4,bad,1,0,treatment,6,bad,0
19481,6466,3262,summary,4,3,19481,4,bad,1,0,control,6,bad,0
19482,6467,3262,assignment,7,1,19482,5,bad,1,0,treatment,7,good,1
19483,6468,3262,assignment,5,1,19483,4,bad,1,0,treatment,4,bad,0
19484,6468,3262,assignment,3,2,19484,2,bad,1,0,control,4,bad,0
19485,6469,3263,assignment,6,1,19485,7,good,0,1,control,6,bad,0
19486,6469,3263,summary,7,2,19486,9,good,0,1,control,8,good,1
19487,6470,3264,assignment,6,1,19487,5,bad,1,0,treatment,7,good,1
19488,6471,3265,summary,6,1,19488,8,good,0,1,control,6,bad,0
19489,6471,3265,summary,5,2,19489,5,bad,1,0,control,4,bad,0
19490,6471,3265,report,6,3,19490,7,good,0,1,treatment,5,bad,0
19491,6472,3265,summary,7,1,19491,7,good,0,1,treatment,7,good,1
19492,6472,3265,report,7,2,19492,6,bad,1,0,control,9,good,1
19493,6472,3265,report,6,3,19493,5,bad,1,0,control,8,good,1
19494,6472,3265,summary,6,4,19494,8,good,0,1,treatment,8,good,1
19495,6472,3265,report,6,5,19495,6,bad,1,0,treatment,5,bad,0
19496,6473,3265,report,7,1,19496,8,good,0,1,treatment,8,good,1
19497,6474,3266,assignment,8,1,19497,7,good,0,1,treatment,10,good,1
19498,6474,3266,summary,7,2,19498,6,bad,1,0,control,8,good,1
19499,6474,3266,assignment,7,3,19499,6,bad,1,0,treatment,9,good,1
19500,6475,3266,summary,9,1,19500,10,good,0,1,control,9,good,1
19501,6475,3266,assignment,7,2,19501,6,bad,1,0,treatment,7,good,1
19502,6476,3266,assignment,8,1,19502,7,good,0,1,control,10,good,1
19503,6476,3266,assignment,8,2,19503,9,good,0,1,treatment,9,good,1
19504,6476,3266,assignment,9,3,19504,8,good,0,1,treatment,8,good,1
19505,6476,3266,assignment,7,4,19505,6,bad,1,0,control,7,good,1
19506,6477,3267,summary,7,1,19506,5,bad,1,0,treatment,8,good,1
19507,6477,3267,assignment,4,2,19507,3,bad,1,0,control,5,bad,0
19508,6478,3267,summary,3,1,19508,4,bad,1,0,control,3,bad,0
19509,6478,3267,assignment,6,2,19509,5,bad,1,0,treatment,6,bad,0
19510,6478,3267,assignment,6,3,19510,3,bad,1,0,treatment,6,bad,0
19511,6478,3267,assignment,7,4,19511,6,bad,1,0,treatment,7,good,1
19512,6478,3267,assignment,4,5,19512,3,bad,1,0,control,3,bad,0
19513,6479,3267,assignment,5,1,19513,2,bad,1,0,treatment,6,bad,0
19514,6479,3267,assignment,4,2,19514,5,bad,1,0,control,5,bad,0
19515,6479,3267,summary,5,3,19515,5,bad,1,0,control,6,bad,0
19516,6479,3267,assignment,5,4,19516,5,bad,1,0,control,6,bad,0
19517,6479,3267,assignment,5,5,19517,3,bad,1,0,treatment,6,bad,0
19518,6480,3268,summary,7,1,19518,8,good,0,1,treatment,7,good,1
19519,6480,3268,summary,6,2,19519,7,good,0,1,treatment,8,good,1
19520,6480,3268,summary,7,3,19520,9,good,0,1,control,8,good,1
19521,6481,3268,summary,7,1,19521,9,good,0,1,control,6,bad,0
19522,6481,3268,assignment,7,2,19522,4,bad,1,0,treatment,8,good,1
19523,6482,3268,summary,7,1,19523,5,bad,1,0,treatment,9,good,1
19524,6482,3268,summary,7,2,19524,6,bad,1,0,control,6,bad,0
19525,6482,3268,summary,6,3,19525,8,good,0,1,treatment,6,bad,0
19526,6483,3269,report,7,1,19526,6,bad,1,0,control,9,good,1
19527,6483,3269,summary,7,2,19527,8,good,0,1,control,9,good,1
19528,6483,3269,report,7,3,19528,9,good,0,1,treatment,7,good,1
19529,6483,3269,report,9,4,19529,8,good,0,1,treatment,10,good,1
19530,6483,3269,report,7,5,19530,8,good,0,1,treatment,7,good,1
19531,6484,3270,summary,9,1,19531,9,good,0,1,control,10,good,1
19532,6485,3270,report,7,1,19532,8,good,0,1,control,6,bad,0
19533,6485,3270,summary,9,2,19533,10,good,0,1,control,8,good,1
19534,6485,3270,report,9,3,19534,9,good,0,1,control,8,good,1
19535,6486,3271,assignment,4,1,19535,5,bad,1,0,control,6,bad,0
19536,6486,3271,assignment,5,2,19536,6,bad,1,0,control,6,bad,0
19537,6486,3271,assignment,5,3,19537,2,bad,1,0,treatment,4,bad,0
19538,6486,3271,assignment,4,4,19538,4,bad,1,0,control,5,bad,0
19539,6486,3271,assignment,3,5,19539,5,bad,1,0,control,3,bad,0
19540,6487,3271,assignment,5,1,19540,5,bad,1,0,treatment,6,bad,0
19541,6487,3271,assignment,5,2,19541,5,bad,1,0,treatment,4,bad,0
19542,6487,3271,assignment,5,3,19542,2,bad,1,0,treatment,7,good,1
19543,6488,3271,summary,4,1,19543,3,bad,1,0,control,3,bad,0
19544,6488,3271,assignment,5,2,19544,4,bad,1,0,control,4,bad,0
19545,6488,3271,assignment,7,3,19545,7,good,0,1,treatment,8,good,1
19546,6488,3271,assignment,4,4,19546,4,bad,1,0,control,3,bad,0
19547,6488,3271,summary,5,5,19547,6,bad,1,0,control,4,bad,0
19548,6489,3272,assignment,3,1,19548,4,bad,1,0,control,3,bad,0
19549,6489,3272,assignment,5,2,19549,6,bad,1,0,control,4,bad,0
19550,6489,3272,assignment,5,3,19550,4,bad,1,0,treatment,5,bad,0
19551,6489,3272,summary,4,4,19551,4,bad,1,0,control,5,bad,0
19552,6489,3272,assignment,3,5,19552,2,bad,1,0,control,2,bad,0
19553,6490,3272,assignment,4,1,19553,4,bad,1,0,control,4,bad,0
19554,6490,3272,assignment,3,2,19554,3,bad,1,0,control,3,bad,0
19555,6490,3272,summary,5,3,19555,2,bad,1,0,treatment,6,bad,0
19556,6490,3272,assignment,5,4,19556,4,bad,1,0,treatment,5,bad,0
19557,6491,3272,assignment,7,1,19557,6,bad,1,0,treatment,8,good,1
19558,6491,3272,assignment,5,2,19558,5,bad,1,0,treatment,7,good,1
19559,6492,3273,summary,4,1,19559,4,bad,1,0,control,6,bad,0
19560,6493,3273,summary,3,1,19560,2,bad,1,0,control,5,bad,0
19561,6493,3273,report,5,2,19561,4,bad,1,0,treatment,5,bad,0
19562,6493,3273,report,5,3,19562,4,bad,1,0,treatment,4,bad,0
19563,6494,3273,report,7,1,19563,4,bad,1,0,treatment,7,good,1
19564,6494,3273,report,7,2,19564,6,bad,1,0,treatment,6,bad,0
19565,6494,3273,report,4,3,19565,5,bad,1,0,control,6,bad,0
19566,6494,3273,summary,7,4,19566,7,good,0,1,treatment,8,good,1
19567,6494,3273,report,4,5,19567,5,bad,1,0,control,5,bad,0
19568,6495,3274,assignment,7,1,19568,9,good,0,1,treatment,6,bad,0
19569,6495,3274,summary,7,2,19569,9,good,0,1,control,7,good,1
19570,6495,3274,assignment,7,3,19570,8,good,0,1,treatment,8,good,1
19571,6495,3274,summary,7,4,19571,9,good,0,1,treatment,9,good,1
19572,6496,3274,assignment,6,1,19572,6,bad,1,0,treatment,8,good,1
19573,6496,3274,summary,6,2,19573,8,good,0,1,control,6,bad,0
19574,6496,3274,summary,7,3,19574,6,bad,1,0,control,8,good,1
19575,6496,3274,summary,6,4,19575,7,good,0,1,treatment,7,good,1
19576,6497,3274,assignment,7,1,19576,5,bad,1,0,treatment,6,bad,0
19577,6497,3274,assignment,7,2,19577,7,good,0,1,control,7,good,1
19578,6497,3274,summary,7,3,19578,7,good,0,1,control,9,good,1
19579,6497,3274,assignment,5,4,19579,7,good,0,1,control,4,bad,0
19580,6497,3274,summary,6,5,19580,5,bad,1,0,treatment,7,good,1
19581,6498,3275,report,7,1,19581,6,bad,1,0,treatment,8,good,1
19582,6498,3275,report,7,2,19582,7,good,0,1,treatment,8,good,1
19583,6499,3275,report,7,1,19583,9,good,0,1,control,6,bad,0
19584,6499,3275,report,6,2,19584,8,good,0,1,treatment,7,good,1
19585,6500,3275,summary,7,1,19585,9,good,0,1,control,9,good,1
19586,6500,3275,summary,6,2,19586,7,good,0,1,treatment,7,good,1
19587,6500,3275,report,7,3,19587,8,good,0,1,treatment,6,bad,0
19588,6500,3275,summary,7,4,19588,5,bad,1,0,treatment,9,good,1
19589,6501,3276,report,6,1,19589,3,bad,1,0,treatment,5,bad,0
19590,6501,3276,summary,4,2,19590,3,bad,1,0,control,5,bad,0
19591,6501,3276,summary,7,3,19591,4,bad,1,0,treatment,8,good,1
19592,6501,3276,report,5,4,19592,4,bad,1,0,control,4,bad,0
19593,6502,3276,report,5,1,19593,3,bad,1,0,treatment,4,bad,0
19594,6502,3276,report,6,2,19594,4,bad,1,0,treatment,6,bad,0
19595,6502,3276,summary,5,3,19595,4,bad,1,0,treatment,5,bad,0
19596,6502,3276,report,5,4,19596,3,bad,1,0,treatment,4,bad,0
19597,6502,3276,summary,7,5,19597,5,bad,1,0,treatment,8,good,1
19598,6503,3277,summary,7,1,19598,7,good,0,1,treatment,8,good,1
19599,6504,3278,assignment,5,1,19599,7,good,0,1,control,6,bad,0
19600,6505,3279,summary,5,1,19600,4,bad,1,0,treatment,7,good,1
19601,6506,3279,assignment,7,1,19601,6,bad,1,0,treatment,9,good,1
19602,6507,3280,report,7,1,19602,6,bad,1,0,treatment,9,good,1
19603,6507,3280,summary,7,2,19603,6,bad,1,0,treatment,8,good,1
19604,6507,3280,report,7,3,19604,9,good,0,1,control,9,good,1
19605,6508,3281,assignment,6,1,19605,7,good,0,1,treatment,8,good,1
19606,6508,3281,assignment,7,2,19606,6,bad,1,0,treatment,8,good,1
19607,6508,3281,assignment,5,3,19607,7,good,0,1,control,5,bad,0
19608,6509,3281,summary,6,1,19608,8,good,0,1,treatment,5,bad,0
19609,6509,3281,summary,7,2,19609,4,bad,1,0,treatment,8,good,1
19610,6510,3282,assignment,4,1,19610,3,bad,1,0,control,5,bad,0
19611,6510,3282,assignment,7,2,19611,7,good,0,1,treatment,6,bad,0
19612,6510,3282,summary,5,3,19612,4,bad,1,0,treatment,5,bad,0
19613,6510,3282,assignment,5,4,19613,7,good,0,1,control,5,bad,0
19614,6510,3282,assignment,5,5,19614,5,bad,1,0,treatment,4,bad,0
19615,6511,3282,summary,5,1,19615,4,bad,1,0,control,4,bad,0
19616,6511,3282,summary,7,2,19616,5,bad,1,0,treatment,9,good,1
19617,6512,3283,report,6,1,19617,5,bad,1,0,treatment,5,bad,0
19618,6512,3283,summary,7,2,19618,5,bad,1,0,treatment,9,good,1
19619,6512,3283,report,6,3,19619,5,bad,1,0,control,8,good,1
19620,6513,3284,report,3,1,19620,3,bad,1,0,control,3,bad,0
19621,6513,3284,report,5,2,19621,6,bad,1,0,control,4,bad,0
19622,6513,3284,report,3,3,19622,5,bad,1,0,control,4,bad,0
19623,6513,3284,report,5,4,19623,3,bad,1,0,treatment,6,bad,0
19624,6514,3284,summary,5,1,19624,3,bad,1,0,treatment,6,bad,0
19625,6515,3284,summary,5,1,19625,2,bad,1,0,treatment,5,bad,0
19626,6515,3284,report,6,2,19626,4,bad,1,0,treatment,6,bad,0
19627,6515,3284,summary,3,3,19627,4,bad,1,0,control,4,bad,0
19628,6516,3285,assignment,7,1,19628,6,bad,1,0,treatment,6,bad,0
19629,6516,3285,assignment,6,2,19629,8,good,0,1,treatment,6,bad,0
19630,6517,3285,assignment,7,1,19630,6,bad,1,0,treatment,8,good,1
19631,6517,3285,assignment,6,2,19631,8,good,0,1,control,5,bad,0
19632,6517,3285,assignment,6,3,19632,6,bad,1,0,control,5,bad,0
19633,6517,3285,summary,6,4,19633,5,bad,1,0,control,5,bad,0
19634,6518,3286,assignment,8,1,19634,9,good,0,1,control,10,good,1
19635,6519,3286,assignment,9,1,19635,10,good,0,1,control,10,good,1
19636,6519,3286,summary,9,2,19636,10,good,0,1,treatment,10,good,1
19637,6520,3287,assignment,9,1,19637,8,good,0,1,treatment,9,good,1
19638,6520,3287,assignment,9,2,19638,8,good,0,1,control,10,good,1
19639,6521,3287,assignment,9,1,19639,9,good,0,1,control,10,good,1
19640,6521,3287,assignment,8,2,19640,7,good,0,1,treatment,7,good,1
19641,6521,3287,summary,9,3,19641,9,good,0,1,control,10,good,1
19642,6521,3287,assignment,9,4,19642,9,good,0,1,control,8,good,1
19643,6521,3287,assignment,8,5,19643,7,good,0,1,control,10,good,1
19644,6522,3287,assignment,8,1,19644,9,good,0,1,treatment,8,good,1
19645,6522,3287,assignment,8,2,19645,10,good,0,1,control,8,good,1
19646,6522,3287,assignment,7,3,19646,6,bad,1,0,treatment,6,bad,0
19647,6522,3287,assignment,9,4,19647,10,good,0,1,control,8,good,1
19648,6523,3288,report,4,1,19648,3,bad,1,0,control,6,bad,0
19649,6523,3288,report,3,2,19649,4,bad,1,0,control,3,bad,0
19650,6523,3288,report,5,3,19650,3,bad,1,0,treatment,4,bad,0
19651,6523,3288,summary,3,4,19651,3,bad,1,0,control,3,bad,0
19652,6524,3288,summary,5,1,19652,7,good,0,1,control,6,bad,0
19653,6524,3288,report,6,2,19653,4,bad,1,0,treatment,6,bad,0
19654,6524,3288,report,5,3,19654,4,bad,1,0,treatment,5,bad,0
19655,6524,3288,report,4,4,19655,3,bad,1,0,control,3,bad,0
19656,6525,3288,report,5,1,19656,3,bad,1,0,treatment,7,good,1
19657,6526,3289,report,3,1,19657,3,bad,1,0,control,3,bad,0
19658,6526,3289,report,5,2,19658,7,good,0,1,control,6,bad,0
19659,6527,3290,summary,4,1,19659,4,bad,1,0,control,5,bad,0
19660,6528,3290,assignment,3,1,19660,5,bad,1,0,control,3,bad,0
19661,6529,3291,summary,7,1,19661,8,good,0,1,treatment,8,good,1
19662,6529,3291,assignment,6,2,19662,7,good,0,1,treatment,6,bad,0
19663,6529,3291,assignment,5,3,19663,7,good,0,1,control,7,good,1
19664,6529,3291,summary,6,4,19664,6,bad,1,0,treatment,8,good,1
19665,6529,3291,assignment,6,5,19665,6,bad,1,0,control,6,bad,0
19666,6530,3292,summary,4,1,19666,5,bad,1,0,control,5,bad,0
19667,6530,3292,report,6,2,19667,6,bad,1,0,treatment,5,bad,0
19668,6531,3292,summary,6,1,19668,4,bad,1,0,treatment,7,good,1
19669,6531,3292,summary,6,2,19669,3,bad,1,0,treatment,5,bad,0
19670,6532,3292,report,5,1,19670,3,bad,1,0,treatment,5,bad,0
19671,6532,3292,summary,6,2,19671,5,bad,1,0,treatment,7,good,1
19672,6532,3292,report,5,3,19672,7,good,0,1,control,6,bad,0
19673,6533,3293,assignment,7,1,19673,7,good,0,1,treatment,9,good,1
19674,6533,3293,assignment,7,2,19674,7,good,0,1,treatment,6,bad,0
19675,6533,3293,assignment,5,3,19675,6,bad,1,0,control,6,bad,0
19676,6533,3293,assignment,7,4,19676,6,bad,1,0,control,9,good,1
19677,6533,3293,assignment,5,5,19677,6,bad,1,0,control,5,bad,0
19678,6534,3293,summary,6,1,19678,6,bad,1,0,control,7,good,1
19679,6534,3293,assignment,7,2,19679,7,good,0,1,treatment,7,good,1
19680,6534,3293,summary,7,3,19680,6,bad,1,0,treatment,6,bad,0
19681,6534,3293,assignment,7,4,19681,7,good,0,1,treatment,9,good,1
19682,6535,3294,assignment,7,1,19682,7,good,0,1,treatment,6,bad,0
19683,6535,3294,summary,7,2,19683,6,bad,1,0,treatment,6,bad,0
19684,6536,3294,summary,7,1,19684,5,bad,1,0,treatment,8,good,1
19685,6536,3294,summary,5,2,19685,5,bad,1,0,treatment,4,bad,0
19686,6536,3294,assignment,3,3,19686,5,bad,1,0,control,2,bad,0
19687,6537,3294,assignment,5,1,19687,6,bad,1,0,control,7,good,1
19688,6537,3294,assignment,5,2,19688,2,bad,1,0,treatment,7,good,1
19689,6537,3294,assignment,7,3,19689,5,bad,1,0,treatment,8,good,1
